2025-03-19 12:11:19.578,0,no_colour,"Test","Yes","",99,20,"Test: 1"
2025-03-19 12:11:20.731,0,Orange,"Village","Yes","",54,5,""
2025-03-19 12:11:20.942,0,Orange,"Road","Yes","",2,15,""
2025-03-19 12:11:21.191,0,White,"Village","Yes","",51,4,""
2025-03-19 12:11:21.344,0,White,"Road","Yes","",3,15,""
2025-03-19 12:11:21.926,0,Red,"Village","Yes","",47,4,""
2025-03-19 12:11:22.769,0,Red,"Road","Yes","",2,15,""
2025-03-19 12:11:23.021,0,Blue,"Village","Yes","",44,4,""
2025-03-19 12:11:23.181,0,Blue,"Road","Yes","",2,15,""
2025-03-19 12:11:23.356,0,Blue,"Village","Yes","",41,4,""
2025-03-19 12:11:23.506,0,Blue,"Road","Yes","",2,14,"Food: 1"
2025-03-19 12:11:23.702,0,Red,"Village","Yes","",38,3,"Food: 1"
2025-03-19 12:11:23.844,0,Red,"Road","Yes","",3,14,"Metal: 1"
2025-03-19 12:11:24.293,0,White,"Village","Yes","",34,3,"Metal: 1"
2025-03-19 12:11:24.442,0,White,"Road","Yes","",3,14,"Wood: 2, Food: 1"
2025-03-19 12:11:24.824,0,Orange,"Village","Yes","",31,3,"Wood: 2, Food: 1"
2025-03-19 12:11:24.968,0,Orange,"Road","Yes","",3,14,"Food: 2, Animal: 1"
2025-03-19 12:11:25.214,0,Orange,"Card","No","Resources",-1,-1,"Food: 2, Animal: 1"
2025-03-19 12:11:25.442,0,Orange,"Village","No","Location",0,3,""
2025-03-19 12:11:25.454,0,Orange,"Card","No","Resources",-1,-1,"Food: 2, Animal: 1"
2025-03-19 12:11:25.613,1,White,"Road","No","Resources",7,13,"Wood: 2, Food: 2, Animal: 1"
2025-03-19 12:11:25.617,1,White,"Card","No","Resources",-1,-1,"Wood: 2, Food: 2, Animal: 1"
2025-03-19 12:11:25.788,2,Red,"Road","No","Resources",6,13,"Metal: 3"
2025-03-19 12:11:26.003,3,Blue,"Town","No","Resources",2,4,"Food: 1"
2025-03-19 12:11:26.255,4,Orange,"Card","No","Resources",-1,-1,"Food: 5, Animal: 1"
2025-03-19 12:11:26.612,5,White,"Card","No","Resources",-1,-1,"Wood: 2, Food: 2, Animal: 1"
2025-03-19 12:11:26.784,5,White,"Card","No","Resources",-1,-1,"Wood: 2, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:27.006,5,White,"Card","No","Resources",-1,-1,"Wood: 3, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:27.012,5,White,"Road","No","Resources",7,13,"Wood: 3, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:27.012,5,White,"Village","No","Location",0,3,""
2025-03-19 12:11:27.160,6,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:27.169,6,Red,"Card","No","Resources",-1,-1,"Metal: 3"
2025-03-19 12:11:27.173,6,Red,"Town","No","Resources",2,4,"Metal: 3"
2025-03-19 12:11:27.310,7,Blue,"Village","No","Location",0,3,""
2025-03-19 12:11:27.318,7,Blue,"Road","No","Resources",6,13,"Food: 3, Clay: 1"
2025-03-19 12:11:27.325,7,Blue,"Town","No","Resources",2,4,"Food: 3, Clay: 1"
2025-03-19 12:11:27.329,7,Blue,"Card","No","Resources",-1,-1,"Food: 3, Clay: 1"
2025-03-19 12:11:27.484,8,Orange,"Village","No","Location",0,3,""
2025-03-19 12:11:27.617,9,White,"Card","No","Resources",-1,-1,"Wood: 4, Food: 2, Animal: 1, Metal: 0"
2025-03-19 12:11:27.774,9,White,"Road","No","Resources",7,13,"Wood: 4, Food: 2, Animal: 1, Metal: 1"
2025-03-19 12:11:27.818,9,White,"Town","No","Resources",2,4,"Wood: 4, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:27.818,9,White,"Village","No","Location",0,3,""
2025-03-19 12:11:27.972,10,Red,"Card","No","Resources",-1,-1,"Metal: 3"
2025-03-19 12:11:28.018,10,Red,"Road","No","Resources",6,13,"Metal: 3"
2025-03-19 12:11:28.023,10,Red,"Town","No","Resources",2,4,"Metal: 3"
2025-03-19 12:11:28.030,10,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:28.187,11,Blue,"Card","No","Resources",-1,-1,"Food: 3, Clay: 2"
2025-03-19 12:11:28.224,11,Blue,"Road","No","Resources",6,13,"Food: 3, Clay: 3"
2025-03-19 12:11:28.228,11,Blue,"Town","No","Resources",2,4,"Food: 3, Clay: 3"
2025-03-19 12:11:28.232,11,Blue,"Village","No","Location",0,3,""
2025-03-19 12:11:28.572,13,White,"Card","No","Resources",-1,-1,"Wood: 4, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:28.696,13,White,"Card","No","Resources",-1,-1,"Wood: 4, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:28.970,13,White,"Town","No","Resources",2,4,"Wood: 4, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:28.970,13,White,"Village","No","Location",0,3,""
2025-03-19 12:11:28.977,13,White,"Card","No","Resources",-1,-1,"Wood: 4, Food: 1, Animal: 0, Metal: 0"
2025-03-19 12:11:29.142,14,Red,"Card","No","Resources",-1,-1,"Metal: 4"
2025-03-19 12:11:29.275,14,Red,"Road","No","Resources",6,13,"Metal: 4"
2025-03-19 12:11:29.280,14,Red,"Card","No","Resources",-1,-1,"Metal: 4"
2025-03-19 12:11:30.019,16,Orange,"Card","No","Resources",-1,-1,"Food: 3, Animal: 1, Wood: 1"
2025-03-19 12:11:30.163,17,White,"Town","No","Resources",2,4,"Wood: 4, Food: 1, Animal: 1, Metal: 1"
2025-03-19 12:11:30.163,17,White,"Village","No","Location",0,3,""
2025-03-19 12:11:30.169,17,White,"Road","No","Resources",7,13,"Wood: 4, Food: 1, Animal: 1, Metal: 1"
2025-03-19 12:11:30.417,18,Red,"Card","No","Resources",-1,-1,"Metal: 6"
2025-03-19 12:11:30.421,18,Red,"Road","No","Resources",6,13,"Metal: 6"
2025-03-19 12:11:30.424,18,Red,"Town","No","Resources",2,4,"Metal: 6"
2025-03-19 12:11:30.424,18,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:30.552,19,Blue,"Card","No","Resources",-1,-1,"Food: 4, Clay: 3"
2025-03-19 12:11:30.588,19,Blue,"Village","No","Location",0,3,""
2025-03-19 12:11:30.595,19,Blue,"Town","No","Resources",2,4,"Food: 4, Clay: 3"
2025-03-19 12:11:30.762,20,Orange,"Card","No","Resources",-1,-1,"Food: 5, Animal: 1, Wood: 2"
2025-03-19 12:11:30.802,20,Orange,"Card","No","Resources",-1,-1,"Food: 5, Animal: 1, Wood: 2"
2025-03-19 12:11:31.325,21,White,"Road","No","Resources",7,13,"Wood: 3, Food: 1, Animal: 1, Metal: 1"
2025-03-19 12:11:31.328,21,White,"Town","No","Resources",2,4,"Wood: 3, Food: 1, Animal: 1, Metal: 1"
2025-03-19 12:11:31.363,21,White,"Village","No","Location",0,3,""
2025-03-19 12:11:31.555,22,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:31.597,22,Red,"Town","No","Resources",2,4,"Metal: 4, Animal: 1"
2025-03-19 12:11:31.600,22,Red,"Road","No","Resources",6,13,"Metal: 4, Animal: 1"
2025-03-19 12:11:31.724,23,Blue,"Card","No","Resources",-1,-1,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:31.727,23,Blue,"Road","No","Resources",6,13,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:31.817,24,Orange,"Card","No","Resources",-1,-1,"Food: 3, Animal: 0, Wood: 3"
2025-03-19 12:11:31.853,24,Orange,"Card","No","Resources",-1,-1,"Food: 3, Animal: 0, Wood: 3"
2025-03-19 12:11:32.215,26,Red,"Card","No","Resources",-1,-1,"Metal: 5, Animal: 2"
2025-03-19 12:11:32.341,26,Red,"Road","No","Resources",6,13,"Metal: 1, Animal: 3, Food: 1"
2025-03-19 12:11:32.385,26,Red,"Town","No","Resources",2,4,"Metal: 0, Animal: 2, Food: 0"
2025-03-19 12:11:32.389,26,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:32.514,27,Blue,"Card","No","Resources",-1,-1,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:32.773,27,Blue,"Card","No","Resources",-1,-1,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:32.912,27,Blue,"Road","No","Resources",6,13,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:32.912,27,Blue,"Village","No","Location",0,3,""
2025-03-19 12:11:33.044,28,Orange,"Card","No","Resources",-1,-1,"Food: 5, Animal: 0, Wood: 3"
2025-03-19 12:11:33.149,28,Orange,"Town","No","Resources",2,4,"Food: 1, Animal: 0, Wood: 3, Metal: 1"
2025-03-19 12:11:33.160,28,Orange,"Road","No","Resources",6,13,"Food: 1, Animal: 0, Wood: 3, Metal: 1"
2025-03-19 12:11:33.170,28,Orange,"Card","No","Resources",-1,-1,"Food: 1, Animal: 0, Wood: 3, Metal: 1"
2025-03-19 12:11:33.170,28,Orange,"Village","No","Location",0,3,""
2025-03-19 12:11:33.339,29,White,"Card","No","Resources",-1,-1,"Wood: 6, Food: 0, Animal: 0, Metal: 0"
2025-03-19 12:11:33.419,29,White,"Card","No","Resources",-1,-1,"Wood: 6, Food: 1, Animal: 0, Metal: 0, Clay: 1"
2025-03-19 12:11:33.565,30,Red,"Town","No","Resources",2,4,"Metal: 1, Animal: 2, Food: 0"
2025-03-19 12:11:33.569,30,Red,"Road","No","Resources",6,13,"Metal: 1, Animal: 2, Food: 0"
2025-03-19 12:11:33.739,31,Blue,"Card","No","Resources",-1,-1,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:33.743,31,Blue,"Town","No","Resources",2,4,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:33.743,31,Blue,"Village","No","Location",0,3,""
2025-03-19 12:11:34.064,33,White,"Card","No","Resources",-1,-1,"Wood: 8, Food: 1, Animal: 0, Metal: 0, Clay: 1"
2025-03-19 12:11:34.116,33,White,"Village","No","Location",0,3,""
2025-03-19 12:11:34.126,33,White,"Card","No","Resources",-1,-1,"Wood: 8, Food: 1, Animal: 0, Metal: 1, Clay: 1"
2025-03-19 12:11:34.194,33,White,"Town","No","Resources",2,4,"Wood: 4, Food: 1, Animal: 0, Metal: 1, Clay: 2"
2025-03-19 12:11:34.213,33,White,"Road","Yes","",7,13,"Wood: 4, Food: 1, Animal: 0, Metal: 1, Clay: 2"
2025-03-19 12:11:34.267,33,White,"Road","Yes","",8,12,"Wood: 3, Food: 1, Animal: 0, Metal: 1, Clay: 1"
2025-03-19 12:11:34.703,34,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:34.712,34,Red,"Road","No","Resources",6,13,"Metal: 1, Animal: 2, Food: 0"
2025-03-19 12:11:34.716,34,Red,"Town","No","Resources",2,4,"Metal: 1, Animal: 2, Food: 0"
2025-03-19 12:11:34.719,34,Red,"Card","No","Resources",-1,-1,"Metal: 1, Animal: 2, Food: 0"
2025-03-19 12:11:34.879,35,Blue,"Card","No","Resources",-1,-1,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:34.920,35,Blue,"Town","No","Resources",2,4,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:35.074,36,Orange,"Village","No","Location",0,3,""
2025-03-19 12:11:35.125,36,Orange,"Road","No","Resources",6,13,"Food: 0, Animal: 2, Wood: 3, Metal: 0"
2025-03-19 12:11:35.129,36,Orange,"Town","No","Resources",2,4,"Food: 0, Animal: 2, Wood: 3, Metal: 0"
2025-03-19 12:11:35.133,36,Orange,"Card","No","Resources",-1,-1,"Food: 0, Animal: 2, Wood: 3, Metal: 0"
2025-03-19 12:11:35.294,37,White,"Village","No","Location",0,3,""
2025-03-19 12:11:35.302,37,White,"Town","No","Resources",2,4,"Wood: 5, Food: 1, Animal: 0, Metal: 2, Clay: 0"
2025-03-19 12:11:35.435,38,Red,"Card","No","Resources",-1,-1,"Metal: 1, Animal: 4, Food: 0"
2025-03-19 12:11:35.477,38,Red,"Card","No","Resources",-1,-1,"Metal: 2, Animal: 4, Food: 0"
2025-03-19 12:11:35.481,38,Red,"Road","No","Resources",6,13,"Metal: 2, Animal: 4, Food: 0"
2025-03-19 12:11:35.486,38,Red,"Town","No","Resources",2,4,"Metal: 2, Animal: 4, Food: 0"
2025-03-19 12:11:35.486,38,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:35.872,40,Orange,"Card","No","Resources",-1,-1,"Food: 2, Animal: 2, Wood: 3, Metal: 0"
2025-03-19 12:11:35.961,40,Orange,"Town","No","Resources",2,4,"Food: 2, Animal: 3, Wood: 3, Metal: 0, Clay: 1"
2025-03-19 12:11:36.021,40,Orange,"Card","No","Resources",-1,-1,"Food: 2, Animal: 1, Wood: 4, Metal: 0, Clay: 1"
2025-03-19 12:11:36.021,40,Orange,"Village","No","Location",0,3,""
2025-03-19 12:11:36.209,41,White,"Card","No","Resources",-1,-1,"Wood: 5, Food: 1, Animal: 0, Metal: 2, Clay: 0"
2025-03-19 12:11:36.544,41,White,"Town","No","Resources",2,4,"Wood: 3, Food: 0, Animal: 0, Metal: 1, Clay: 0"
2025-03-19 12:11:36.550,41,White,"Road","No","Resources",9,11,"Wood: 3, Food: 0, Animal: 0, Metal: 1, Clay: 0"
2025-03-19 12:11:36.556,41,White,"Card","No","Resources",-1,-1,"Wood: 3, Food: 0, Animal: 0, Metal: 1, Clay: 0"
2025-03-19 12:11:36.745,42,Red,"Card","No","Resources",-1,-1,"Metal: 3, Animal: 4, Food: 0"
2025-03-19 12:11:36.801,42,Red,"Card","No","Resources",-1,-1,"Metal: 3, Animal: 4, Food: 0"
2025-03-19 12:11:36.804,42,Red,"Road","No","Resources",6,13,"Metal: 3, Animal: 4, Food: 0"
2025-03-19 12:11:36.808,42,Red,"Town","No","Resources",2,4,"Metal: 3, Animal: 4, Food: 0"
2025-03-19 12:11:36.808,42,Red,"Village","No","Location",0,3,""
2025-03-19 12:11:36.943,43,Blue,"Village","No","Location",0,3,""
2025-03-19 12:11:36.959,43,Blue,"Town","No","Resources",2,4,"Food: 2, Clay: 3, Metal: 1"
2025-03-19 12:11:37.053,44,Orange,"Card","No","Resources",-1,-1,"Food: 3, Animal: 0, Wood: 3, Metal: 0, Clay: 0"
2025-03-19 12:11:37.181,44,Orange,"Village","No","Location",0,3,""
2025-03-19 12:11:37.187,44,Orange,"Road","No","Resources",6,13,"Food: 4, Animal: 0, Wood: 3, Metal: 0, Clay: 0"
2025-03-19 12:11:37.196,44,Orange,"Card","No","Resources",-1,-1,"Food: 4, Animal: 0, Wood: 3, Metal: 0, Clay: 0"
2025-03-19 12:11:37.199,44,Orange,"Town","No","Resources",2,4,"Food: 4, Animal: 0, Wood: 3, Metal: 0, Clay: 0"
2025-03-19 12:11:37.366,45,White,"Card","No","Resources",-1,-1,"Wood: 3, Food: 0, Animal: 0, Metal: 0, Clay: 0"
2025-03-19 12:11:37.474,45,White,"Road","No","Resources",9,11,"Wood: 4, Food: 0, Animal: 0, Metal: 0, Clay: 0"
2025-03-19 12:11:37.475,45,White,"Village","No","Location",0,3,""
2025-03-19 12:11:37.611,46,Red,"Card","No","Resources",-1,-1,"Metal: 3, Animal: 5, Food: 0"
2025-03-19 12:11:37.649,46,Red,"Town","No","Resources",2,4,"Metal: 4, Animal: 5, Food: 0"
